genes	se_fe_4dp	estimate_fe_4dp	foldc_fe_2dp	upperl_fe_2dp	lowerl_fe_2dp	pval_fe_3sig
SFN	0.0260	0.0329	1.02	1.06	-1.01	0.207
SFPQ	0.0291	-0.0401	-1.03	1.01	-1.07	0.17
SFRP1	0.0366	0.0550	1.04	1.09	-1.01	0.134
SFRP5	0.0225	0.0180	1.01	1.04	-1.02	0.426
SFSWAP	0.0230	-0.0117	-1.01	1.02	-1.04	0.611
SFT2D2	0.0166	0.0122	1.01	1.03	-1.01	0.463
SFTPB	0.0150	-0.0005	-1.00	1.02	-1.02	0.976
SFTPC	0.0180	-0.0027	-1.00	1.02	-1.03	0.882
SFTPD	0.0287	-0.0005	-1.00	1.04	-1.04	0.986
SFXN1	0.0237	-0.0115	-1.01	1.02	-1.04	0.63
SFXN3	0.0190	0.0192	1.01	1.04	-1.01	0.313
SGCA	0.0234	0.0363	1.03	1.06	-1.01	0.124
SGCD	0.0215	0.0220	1.02	1.05	-1.01	0.307
SGCE	0.0254	-0.0196	-1.01	1.02	-1.05	0.44
SGCG	0.0349	0.0147	1.01	1.06	-1.04	0.675
SGK1	0.0647	-0.0015	-1.00	1.09	-1.09	0.981
SGK2	0.0187	0.0078	1.01	1.03	-1.02	0.675
SGPL1	0.0154	0.0089	1.01	1.03	-1.01	0.563
SGPP1	0.0203	0.0041	1.00	1.03	-1.03	0.839
SGSH	0.0239	0.0123	1.01	1.04	-1.02	0.607
SGSM2	0.0198	-0.0091	-1.01	1.02	-1.03	0.646
SGSM3	0.0204	-0.0027	-1.00	1.03	-1.03	0.895
SGTA	0.0138	0.0267	1.02	1.04	-1.00	0.0529
SH2B1	0.0145	0.0004	1.00	1.02	-1.02	0.979
SH2B2	0.0211	0.0100	1.01	1.04	-1.02	0.636
SH2B3	0.0232	-0.0150	-1.01	1.02	-1.04	0.52
SH2D2A	0.0172	-0.0229	-1.02	1.01	-1.04	0.182
SH2D4A	0.0161	-0.0154	-1.01	1.01	-1.03	0.341
SH3BGR	0.0250	-0.0191	-1.01	1.02	-1.05	0.444
SH3BGRL	0.0285	0.0163	1.01	1.05	-1.03	0.568
SH3BGRL3	0.0249	0.0144	1.01	1.04	-1.02	0.563
SH3BP1	0.0190	-0.0184	-1.01	1.01	-1.04	0.335
SH3BP2	0.0184	0.0167	1.01	1.04	-1.01	0.364
SH3BP4	0.0295	-0.0161	-1.01	1.03	-1.05	0.584
SH3BP5	0.0198	0.0072	1.00	1.03	-1.02	0.717
SH3D21	0.0205	-0.0180	-1.01	1.02	-1.04	0.381
SH3GL1	0.0156	-0.0211	-1.01	1.01	-1.04	0.177
SH3GL2	0.0348	0.0252	1.02	1.07	-1.03	0.469
SH3GL3	0.0239	-0.0113	-1.01	1.02	-1.04	0.637
SH3GLB1	0.0208	0.0255	1.02	1.05	-1.01	0.221
SH3GLB2	0.0217	-0.0512	-1.04	-1.01	-1.07	0.0193
SH3PXD2A	0.0220	-0.0004	-1.00	1.03	-1.03	0.985
SH3TC1	0.0321	-0.0425	-1.03	1.01	-1.08	0.186
SH3TC2	0.0269	-0.0161	-1.01	1.03	-1.05	0.551
SH3YL1	0.0194	0.0070	1.00	1.03	-1.02	0.72
SHANK1	0.0360	-0.0276	-1.02	1.03	-1.07	0.444
SHANK2	0.0247	0.0024	1.00	1.04	-1.03	0.923
SHARPIN	0.0156	-0.0123	-1.01	1.01	-1.03	0.43
SHB	0.0167	-0.0030	-1.00	1.02	-1.03	0.858
SHBG	0.0147	0.0280	1.02	1.04	-1.00	0.0583
SHC1	0.0247	0.0452	1.03	1.07	-1.00	0.0684
SHC2	0.0176	-0.0207	-1.01	1.01	-1.04	0.24
SHC3	0.0407	-0.0047	-1.00	1.05	-1.06	0.908
SHFM1	0.0192	0.0105	1.01	1.03	-1.02	0.587
SHMT1	0.0188	0.0470	1.03	1.06	1.01	0.0128
SHOC2	0.0237	0.0335	1.02	1.06	-1.01	0.159
SHPK	0.0156	-0.0126	-1.01	1.01	-1.03	0.417
SHQ1	0.0270	0.0169	1.01	1.05	-1.03	0.533
SHROOM2	0.0273	-0.0601	-1.04	-1.00	-1.08	0.0287
SIAH1	0.0160	-0.0003	-1.00	1.02	-1.02	0.984
SIAH2	0.0173	-0.0043	-1.00	1.02	-1.03	0.805
SIDT1	0.0298	0.0569	1.04	1.08	-1.00	0.0574
SIDT2	0.0234	0.0631	1.04	1.08	1.01	0.00755
SIGIRR	0.0238	0.0087	1.01	1.04	-1.03	0.713
SIGLEC1	0.0204	-0.0182	-1.01	1.02	-1.04	0.373
SIGLEC5	0.0155	0.0074	1.01	1.03	-1.02	0.634
SIGLEC6	0.0174	-0.0143	-1.01	1.01	-1.03	0.412
SIGLEC9	0.0185	-0.0107	-1.01	1.02	-1.03	0.562
SIGMAR1	0.0152	0.0104	1.01	1.03	-1.01	0.495
SIK1	0.0699	-0.1075	-1.08	1.02	-1.18	0.125
SIK3	0.0240	-0.0282	-1.02	1.01	-1.05	0.242
SIL1	0.0207	0.0004	1.00	1.03	-1.03	0.985
SIM2	0.0189	-0.0012	-1.00	1.03	-1.03	0.95
SIN3B	0.0253	0.0785	1.06	1.09	1.02	0.00205
SIPA1	0.0190	-0.0250	-1.02	1.01	-1.04	0.189
SIPA1L1	0.0187	0.0009	1.00	1.03	-1.03	0.962
SIPA1L3	0.0170	0.0183	1.01	1.04	-1.01	0.284
SIRPA	0.0332	0.0404	1.03	1.08	-1.02	0.224
SIRPG	0.0298	-0.0138	-1.01	1.03	-1.05	0.644
SIRT1	0.0248	0.0475	1.03	1.07	-1.00	0.0564
SIRT2	0.0162	0.0127	1.01	1.03	-1.01	0.434
SIRT3	0.0157	0.0325	1.02	1.04	1.00	0.0389
SIRT5	0.0223	0.0388	1.03	1.06	-1.00	0.0834
SIRT6	0.0150	0.0063	1.00	1.03	-1.02	0.675
SIRT7	0.0193	-0.0167	-1.01	1.01	-1.04	0.388
SIT1	0.0178	-0.0323	-1.02	1.00	-1.05	0.0707
SIVA1	0.0194	0.0101	1.01	1.03	-1.02	0.605
SIX1	0.0245	0.0042	1.00	1.04	-1.03	0.862
SIX2	0.0265	0.0137	1.01	1.05	-1.03	0.605
SKAP1	0.0167	0.0064	1.00	1.03	-1.02	0.704
SKAP2	0.0297	-0.0131	-1.01	1.03	-1.05	0.66
SKIV2L	0.0144	-0.0065	-1.00	1.02	-1.02	0.653
SKIV2L2	0.0213	0.0065	1.00	1.03	-1.02	0.76
SKP1	0.0200	-0.0251	-1.02	1.01	-1.05	0.212
SKP2	0.0186	0.0558	1.04	1.07	1.01	0.003
SLA	0.0218	-0.0397	-1.03	1.00	-1.06	0.0701
SLAMF7	0.0435	0.0594	1.04	1.11	-1.02	0.173
SLAMF8	0.0195	-0.0132	-1.01	1.02	-1.04	0.497
SLBP	0.0246	-0.0163	-1.01	1.02	-1.05	0.507
SLC10A1	0.0179	0.0054	1.00	1.03	-1.02	0.761
SLC10A3	0.0188	0.0153	1.01	1.04	-1.02	0.417
SLC11A2	0.0274	-0.0244	-1.02	1.02	-1.06	0.375
SLC12A2	0.0242	-0.0458	-1.03	1.00	-1.07	0.0592
SLC12A4	0.0143	-0.0036	-1.00	1.02	-1.02	0.802
SLC12A5	0.0243	-0.0212	-1.01	1.02	-1.05	0.384
SLC12A6	0.0195	-0.0108	-1.01	1.02	-1.03	0.58
SLC12A7	0.0203	-0.0549	-1.04	-1.01	-1.07	0.00714
SLC12A8	0.0351	0.0702	1.05	1.10	1.00	0.0469
SLC12A9	0.0124	0.0154	1.01	1.03	-1.01	0.216
SLC13A2	0.0178	-0.0141	-1.01	1.01	-1.03	0.428
SLC13A3	0.0214	-0.0218	-1.02	1.01	-1.05	0.31
SLC13A4	0.0635	-0.0593	-1.04	1.05	-1.14	0.352
SLC14A1	0.0913	0.1969	1.15	1.30	1.01	0.032
SLC14A2	0.0319	0.0168	1.01	1.06	-1.03	0.599
SLC15A2	0.0529	0.0488	1.03	1.11	-1.04	0.357
SLC15A3	0.0198	-0.0431	-1.03	-1.00	-1.06	0.03
SLC16A1	0.0777	0.0647	1.05	1.16	-1.06	0.406
SLC16A2	0.0163	0.0358	1.03	1.05	1.00	0.0287
SLC16A3	0.0396	-0.0101	-1.01	1.05	-1.06	0.798
SLC16A5	0.0291	-0.1037	-1.07	-1.03	-1.12	0.000468
SLC16A6	0.0732	0.0901	1.06	1.18	-1.04	0.221
SLC16A7	0.0430	-0.1014	-1.07	-1.01	-1.14	0.0188
SLC16A8	0.0144	0.0330	1.02	1.04	1.00	0.0221
SLC17A1	0.0160	0.0051	1.00	1.03	-1.02	0.752
SLC17A4	0.0181	0.0091	1.01	1.03	-1.02	0.614
SLC17A5	0.0167	0.0060	1.00	1.03	-1.02	0.721
SLC17A6	0.0527	0.0405	1.03	1.10	-1.04	0.442
SLC17A7	0.0231	0.0402	1.03	1.06	-1.00	0.0824
SLC17A9	0.0135	-0.0061	-1.00	1.01	-1.02	0.65
SLC19A1	0.0159	0.0100	1.01	1.03	-1.01	0.531
SLC19A2	0.0285	0.0325	1.02	1.06	-1.02	0.255
SLC1A1	0.0254	0.0243	1.02	1.05	-1.02	0.339
SLC1A2	0.0718	0.0467	1.03	1.14	-1.07	0.516
SLC1A3	0.0603	0.1582	1.12	1.21	1.03	0.00911
SLC1A4	0.0360	0.0741	1.05	1.11	1.00	0.0405
SLC1A5	0.0158	-0.0210	-1.01	1.01	-1.04	0.184
SLC1A6	0.0211	0.0209	1.01	1.04	-1.01	0.323
SLC1A7	0.0255	-0.0068	-1.00	1.03	-1.04	0.79
SLC20A1	0.0279	-0.0055	-1.00	1.03	-1.04	0.844
SLC20A2	0.0180	-0.0065	-1.00	1.02	-1.03	0.718
SLC22A11	0.0183	-0.0218	-1.02	1.01	-1.04	0.234
SLC22A13	0.0169	0.0061	1.00	1.03	-1.02	0.721
SLC22A14	0.0146	0.0042	1.00	1.02	-1.02	0.775
SLC22A17	0.0225	0.0281	1.02	1.05	-1.01	0.212
SLC22A18	0.0228	-0.0376	-1.03	1.00	-1.06	0.1
SLC22A18AS	0.0140	0.0015	1.00	1.02	-1.02	0.915
SLC22A2	0.0161	-0.0002	-1.00	1.02	-1.02	0.989
SLC22A4	0.0317	0.0045	1.00	1.05	-1.04	0.887
SLC22A5	0.0186	0.0235	1.02	1.04	-1.01	0.208
SLC22A6	0.0284	-0.0135	-1.01	1.03	-1.05	0.635
SLC22A7	0.0167	-0.0363	-1.03	-1.00	-1.05	0.0303
SLC22A8	0.0200	-0.0149	-1.01	1.02	-1.04	0.456
SLC23A2	0.0154	0.0238	1.02	1.04	-1.00	0.123
SLC24A2	0.0194	0.0144	1.01	1.04	-1.02	0.458
SLC24A3	0.0270	-0.0079	-1.01	1.03	-1.04	0.771
SLC24A6	0.0145	-0.0002	-1.00	1.02	-1.02	0.989
SLC25A1	0.0220	0.0383	1.03	1.06	-1.00	0.083
SLC25A10	0.0172	0.0072	1.01	1.03	-1.02	0.674
SLC25A11	0.0189	-0.0027	-1.00	1.02	-1.03	0.885
SLC25A12	0.0356	-0.0217	-1.02	1.03	-1.07	0.542
SLC25A13	0.0453	-0.1055	-1.08	-1.01	-1.14	0.0212
SLC25A14	0.0125	0.0176	1.01	1.03	-1.00	0.16
SLC25A15	0.0162	-0.0304	-1.02	1.00	-1.04	0.0611
SLC25A17	0.0170	-0.0066	-1.00	1.02	-1.03	0.699
SLC25A20	0.0205	0.0521	1.04	1.07	1.01	0.0117
SLC25A22	0.0198	0.0392	1.03	1.06	1.00	0.0493
SLC25A28	0.0190	0.0208	1.01	1.04	-1.01	0.274
SLC25A3	0.0164	-0.0217	-1.02	1.01	-1.04	0.187
SLC25A32	0.0190	-0.0287	-1.02	1.01	-1.05	0.133
SLC25A36	0.0137	0.0114	1.01	1.03	-1.01	0.405
SLC25A37	0.0342	-0.0231	-1.02	1.03	-1.06	0.499
SLC25A38	0.0176	0.0669	1.05	1.07	1.02	0.000175
SLC25A4	0.0325	-0.0014	-1.00	1.04	-1.05	0.965
SLC25A40	0.0188	0.0093	1.01	1.03	-1.02	0.622
SLC25A44	0.0173	0.0016	1.00	1.02	-1.02	0.927
SLC25A46	0.0193	-0.0298	-1.02	1.01	-1.05	0.123
SLC25A5	0.0288	-0.0327	-1.02	1.02	-1.06	0.257
SLC25A6	0.0180	-0.0001	-1.00	1.02	-1.02	0.997
SLC26A1	0.0216	-0.0036	-1.00	1.03	-1.03	0.867
SLC26A10	0.0232	0.0072	1.00	1.04	-1.03	0.757
SLC26A2	0.0601	-0.0912	-1.07	1.02	-1.16	0.13
SLC26A6	0.0227	0.0025	1.00	1.03	-1.03	0.914
SLC27A3	0.0250	0.0322	1.02	1.06	-1.01	0.198
SLC27A5	0.0164	0.0259	1.02	1.04	-1.00	0.116
SLC28A1	0.0187	-0.0039	-1.00	1.02	-1.03	0.836
SLC28A3	0.0161	0.0056	1.00	1.03	-1.02	0.727
SLC29A1	0.0158	-0.0203	-1.01	1.01	-1.04	0.201
SLC29A2	0.0331	0.0289	1.02	1.07	-1.03	0.385
SLC29A3	0.0145	-0.0148	-1.01	1.01	-1.03	0.309
SLC2A11	0.0327	0.0064	1.00	1.05	-1.04	0.845
SLC2A3	0.0453	0.0224	1.02	1.08	-1.05	0.621
SLC2A4RG	0.0233	0.0468	1.03	1.07	1.00	0.0455
SLC2A5	0.0399	-0.0395	-1.03	1.03	-1.08	0.324
SLC2A6	0.0232	0.0207	1.01	1.05	-1.02	0.373
SLC2A8	0.0184	0.0166	1.01	1.04	-1.01	0.367
SLC2A9	0.0159	-0.0250	-1.02	1.00	-1.04	0.118
SLC30A3	0.0232	-0.0355	-1.02	1.01	-1.06	0.127
SLC30A5	0.0160	0.0120	1.01	1.03	-1.01	0.453
SLC30A9	0.0276	0.0150	1.01	1.05	-1.03	0.588
SLC31A2	0.0369	-0.0610	-1.04	1.01	-1.10	0.0993
SLC33A1	0.0243	-0.0260	-1.02	1.02	-1.05	0.286
SLC34A1	0.0193	0.0317	1.02	1.05	-1.00	0.102
SLC35A1	0.0174	0.0269	1.02	1.04	-1.00	0.123
SLC35A2	0.0169	0.0013	1.00	1.02	-1.02	0.937
SLC35A3	0.0214	0.0133	1.01	1.04	-1.02	0.534
SLC35A5	0.0253	-0.0275	-1.02	1.02	-1.05	0.279
SLC35B1	0.0166	-0.0118	-1.01	1.01	-1.03	0.477
SLC35C1	0.0152	-0.0093	-1.01	1.01	-1.03	0.542
SLC35C2	0.0141	0.0030	1.00	1.02	-1.02	0.833
SLC35D1	0.0208	0.0388	1.03	1.06	-1.00	0.0632
SLC35D2	0.0204	-0.0259	-1.02	1.01	-1.05	0.206
SLC35E1	0.0207	0.0146	1.01	1.04	-1.02	0.48
SLC35E3	0.0179	0.0059	1.00	1.03	-1.02	0.741
SLC35F2	0.0164	0.0484	1.03	1.06	1.01	0.00346
SLC35G2	0.0274	0.0112	1.01	1.05	-1.03	0.682
SLC36A1	0.0216	-0.0583	-1.04	-1.01	-1.07	0.0073
SLC37A1	0.0208	-0.0092	-1.01	1.02	-1.04	0.659
SLC37A4	0.0141	0.0089	1.01	1.03	-1.01	0.528
SLC38A1	0.0534	-0.0456	-1.03	1.04	-1.11	0.394
SLC38A10	0.0222	0.0180	1.01	1.04	-1.02	0.419
SLC38A2	0.0378	-0.1060	-1.08	-1.02	-1.13	0.00539
SLC38A3	0.0165	-0.0231	-1.02	1.01	-1.04	0.162
SLC38A7	0.0178	-0.0216	-1.02	1.01	-1.04	0.225
SLC39A1	0.0141	-0.0078	-1.01	1.01	-1.02	0.582
SLC39A14	0.0375	0.0585	1.04	1.10	-1.01	0.12
SLC39A2	0.0121	0.0029	1.00	1.02	-1.01	0.811
SLC39A4	0.0221	-0.0033	-1.00	1.03	-1.03	0.881
SLC39A6	0.0194	0.0346	1.02	1.05	-1.00	0.0758
SLC39A7	0.0262	-0.0298	-1.02	1.02	-1.06	0.256
SLC39A8	0.0319	-0.0551	-1.04	1.01	-1.08	0.0851
SLC3A2	0.0207	0.0233	1.02	1.05	-1.01	0.262
SLC41A3	0.0136	0.0145	1.01	1.03	-1.01	0.289
SLC43A1	0.0157	0.0195	1.01	1.04	-1.01	0.215
SLC43A3	0.0210	-0.0606	-1.04	-1.01	-1.07	0.00411
SLC44A4	0.0284	-0.0033	-1.00	1.04	-1.04	0.909
SLC45A2	0.0161	-0.0026	-1.00	1.02	-1.02	0.873
SLC46A3	0.0231	0.0529	1.04	1.07	1.01	0.023
SLC47A1	0.0432	-0.0543	-1.04	1.02	-1.10	0.21
SLC48A1	0.0234	-0.0400	-1.03	1.00	-1.06	0.0888
SLC4A1	0.0187	-0.0417	-1.03	-1.00	-1.06	0.027
SLC4A1AP	0.0173	-0.0086	-1.01	1.02	-1.03	0.621
SLC4A2	0.0166	-0.0257	-1.02	1.00	-1.04	0.123
SLC4A3	0.0174	-0.0112	-1.01	1.02	-1.03	0.52
SLC4A4	0.0650	0.0903	1.06	1.16	-1.03	0.166
SLC4A7	0.0197	0.0239	1.02	1.04	-1.01	0.227
SLC50A1	0.0147	-0.0137	-1.01	1.01	-1.03	0.35
SLC52A2	0.0246	-0.0129	-1.01	1.02	-1.04	0.599
SLC5A1	0.0168	0.0284	1.02	1.04	-1.00	0.0923
SLC5A2	0.0139	-0.0108	-1.01	1.01	-1.03	0.439
SLC5A3	0.0525	0.0213	1.01	1.09	-1.06	0.686
SLC5A4	0.0240	0.0209	1.01	1.05	-1.02	0.385
SLC5A5	0.0206	-0.0203	-1.01	1.01	-1.04	0.326
SLC5A6	0.0261	-0.0516	-1.04	-1.00	-1.07	0.0493
SLC5A7	0.0217	0.0121	1.01	1.04	-1.02	0.577
SLC6A1	0.0379	-0.0444	-1.03	1.02	-1.09	0.242
SLC6A11	0.0198	-0.0147	-1.01	1.02	-1.04	0.459
SLC6A12	0.0317	-0.0189	-1.01	1.03	-1.06	0.552
SLC6A13	0.0140	-0.0070	-1.00	1.01	-1.02	0.616
SLC6A15	0.0330	0.0287	1.02	1.07	-1.03	0.384
SLC6A3	0.0132	-0.0121	-1.01	1.01	-1.03	0.363
SLC6A4	0.0177	0.0013	1.00	1.03	-1.02	0.944
SLC6A6	0.0423	-0.0587	-1.04	1.02	-1.10	0.168
SLC6A7	0.0214	-0.0626	-1.04	-1.01	-1.08	0.0037
SLC6A8	0.0240	0.0394	1.03	1.06	-1.01	0.102
SLC7A1	0.0221	-0.0138	-1.01	1.02	-1.04	0.534
SLC7A10	0.0278	0.0696	1.05	1.09	1.01	0.0129
SLC7A11	0.0574	0.0584	1.04	1.13	-1.04	0.31
SLC7A4	0.0197	-0.0061	-1.00	1.02	-1.03	0.758
SLC7A5	0.0343	-0.0012	-1.00	1.05	-1.05	0.973
SLC7A6	0.0243	0.0179	1.01	1.05	-1.02	0.461
SLC7A7	0.0201	-0.0425	-1.03	-1.00	-1.06	0.0357
SLC7A8	0.0156	-0.0175	-1.01	1.01	-1.03	0.263
SLC7A9	0.0189	0.0016	1.00	1.03	-1.02	0.933
SLC8A2	0.0278	-0.0002	-1.00	1.04	-1.04	0.994
SLC9A1	0.0147	-0.0074	-1.01	1.01	-1.03	0.616
SLC9A3R1	0.0282	0.0531	1.04	1.08	-1.00	0.0606
SLC9A5	0.0141	0.0298	1.02	1.04	1.00	0.0347
SLC9A6	0.0214	0.0435	1.03	1.06	1.00	0.0428
SLC9A8	0.0181	-0.0047	-1.00	1.02	-1.03	0.796
SLCO1A2	0.0384	-0.1028	-1.07	-1.02	-1.13	0.00781
SLCO1C1	0.0743	0.0319	1.02	1.13	-1.08	0.668
SLCO2A1	0.0172	-0.0019	-1.00	1.02	-1.03	0.912
SLCO2B1	0.0357	-0.1094	-1.08	-1.03	-1.13	0.00236
SLCO3A1	0.0204	0.0138	1.01	1.04	-1.02	0.501
SLCO4A1	0.0540	-0.0098	-1.01	1.07	-1.08	0.856
SLIRP	0.0240	-0.0127	-1.01	1.02	-1.04	0.598
SLIT1	0.0265	0.0534	1.04	1.08	1.00	0.0448
SLIT2	0.0274	0.0072	1.01	1.04	-1.03	0.792
SLIT3	0.0179	0.0162	1.01	1.04	-1.01	0.368
SLITRK3	0.0276	0.0060	1.00	1.04	-1.03	0.829
SLITRK5	0.0313	-0.0706	-1.05	-1.01	-1.10	0.0246
SLK	0.0247	0.0226	1.02	1.05	-1.02	0.361
SLMO1	0.0202	-0.0038	-1.00	1.03	-1.03	0.85
SLMO2	0.0233	0.0425	1.03	1.06	-1.00	0.069
SLN	0.0308	0.0071	1.00	1.05	-1.04	0.818
SLPI	0.0383	-0.0370	-1.03	1.03	-1.08	0.334
SLTM	0.0288	-0.0784	-1.06	-1.02	-1.10	0.00692
SLURP1	0.0277	0.0114	1.01	1.05	-1.03	0.681
SMAD1	0.0382	0.0420	1.03	1.08	-1.02	0.272
SMAD2	0.0195	-0.0188	-1.01	1.01	-1.04	0.335
SMAD3	0.0217	-0.0111	-1.01	1.02	-1.04	0.61
SMAD7	0.0301	0.0035	1.00	1.04	-1.04	0.907
SMAGP	0.0157	0.0110	1.01	1.03	-1.01	0.483
SMAP1	0.0225	-0.0328	-1.02	1.01	-1.05	0.146
SMARCA1	0.0178	0.0224	1.02	1.04	-1.01	0.21
SMARCA2	0.0221	-0.0086	-1.01	1.02	-1.04	0.697
SMARCA4	0.0187	-0.0023	-1.00	1.02	-1.03	0.903
SMARCA5	0.0223	-0.0114	-1.01	1.02	-1.04	0.611
SMARCAL1	0.0160	-0.0154	-1.01	1.01	-1.03	0.336
SMARCB1	0.0188	-0.0156	-1.01	1.01	-1.04	0.408
SMARCC1	0.0198	0.0005	1.00	1.03	-1.03	0.98
SMARCC2	0.0189	-0.0165	-1.01	1.01	-1.04	0.382
SMARCD1	0.0158	0.0283	1.02	1.04	-1.00	0.075
SMARCD2	0.0190	0.0063	1.00	1.03	-1.02	0.74
SMARCD3	0.0215	0.0671	1.05	1.08	1.02	0.00197
SMARCE1	0.0256	0.0063	1.00	1.04	-1.03	0.806
SMC1A	0.0276	-0.0211	-1.01	1.02	-1.05	0.445
SMC3	0.0188	0.0088	1.01	1.03	-1.02	0.642
SMC4	0.0383	-0.0181	-1.01	1.04	-1.07	0.637
SMC6	0.0181	0.0215	1.01	1.04	-1.01	0.237
SMCHD1	0.0267	0.0585	1.04	1.08	1.00	0.0294
SMCP	0.0154	-0.0133	-1.01	1.01	-1.03	0.39
SMCR7L	0.0155	0.0006	1.00	1.02	-1.02	0.967
SMEK1	0.0282	-0.0396	-1.03	1.01	-1.07	0.163
SMG5	0.0153	-0.0086	-1.01	1.01	-1.03	0.573
SMG6	0.0180	0.0454	1.03	1.06	1.01	0.012
SMG7	0.0325	0.0138	1.01	1.06	-1.04	0.672
SMG8	0.0162	0.0169	1.01	1.03	-1.01	0.296
SMG9	0.0159	-0.0093	-1.01	1.02	-1.03	0.56
SMNDC1	0.0204	0.0192	1.01	1.04	-1.01	0.347
SMO	0.0124	-0.0066	-1.00	1.01	-1.02	0.595
SMOX	0.0194	0.0379	1.03	1.05	-1.00	0.0522
SMPD1	0.0179	0.0120	1.01	1.03	-1.02	0.505
SMPD2	0.0130	0.0259	1.02	1.04	1.00	0.0461
SMPD3	0.0207	-0.0244	-1.02	1.01	-1.05	0.239
SMPDL3A	0.0275	-0.0146	-1.01	1.03	-1.05	0.595
SMPX	0.0303	-0.0719	-1.05	-1.01	-1.10	0.0186
SMS	0.0227	-0.0172	-1.01	1.02	-1.04	0.45
SMTN	0.0180	0.0279	1.02	1.04	-1.01	0.122
SMU1	0.0260	0.0070	1.00	1.04	-1.03	0.787
SMUG1	0.0194	-0.0223	-1.02	1.01	-1.04	0.251
SMURF1	0.0213	-0.0054	-1.00	1.03	-1.03	0.798
SMURF2	0.0299	0.0267	1.02	1.06	-1.02	0.372
SMYD2	0.0294	-0.0267	-1.02	1.02	-1.06	0.365
SMYD3	0.0271	-0.0301	-1.02	1.02	-1.06	0.268
SMYD5	0.0130	0.0190	1.01	1.03	-1.00	0.144
SNAI1	0.0176	0.0139	1.01	1.03	-1.01	0.431
SNAP23	0.0312	0.0377	1.03	1.07	-1.02	0.229
SNAP25	0.0330	-0.0774	-1.06	-1.01	-1.10	0.0198
SNAP29	0.0338	0.0068	1.00	1.05	-1.04	0.84
SNAP91	0.0232	0.0324	1.02	1.06	-1.01	0.163
SNAPC1	0.0307	0.0163	1.01	1.05	-1.03	0.597
SNAPC2	0.0188	-0.0080	-1.01	1.02	-1.03	0.672
SNAPC3	0.0288	-0.0211	-1.01	1.02	-1.06	0.464
SNAPC4	0.0155	0.0046	1.00	1.02	-1.02	0.768
SNCA	0.0311	-0.0323	-1.02	1.02	-1.07	0.3
SNCAIP	0.0194	-0.0277	-1.02	1.01	-1.05	0.154
SNCB	0.0333	-0.0128	-1.01	1.04	-1.06	0.701
SNCG	0.0285	-0.0259	-1.02	1.02	-1.06	0.365
SND1	0.0150	0.0212	1.01	1.04	-1.01	0.158
SND1.IT1	0.0204	0.0390	1.03	1.06	-1.00	0.0571
SNED1	0.0183	0.0033	1.00	1.03	-1.02	0.858
SNF8	0.0249	-0.0196	-1.01	1.02	-1.05	0.43
SNIP1	0.0170	0.0114	1.01	1.03	-1.02	0.503
SNN	0.0221	0.0046	1.00	1.03	-1.03	0.835
SNORA25	0.0342	0.0377	1.03	1.08	-1.02	0.271
SNORA64	0.0198	0.0220	1.02	1.04	-1.01	0.268
SNPH	0.0213	0.0469	1.03	1.06	1.00	0.0284
SNRK	0.0185	-0.0318	-1.02	1.00	-1.05	0.0868
SNRNP200	0.0146	0.0337	1.02	1.04	1.00	0.0213
SNRNP25	0.0217	0.0043	1.00	1.03	-1.03	0.842
SNRNP27	0.0177	0.0122	1.01	1.03	-1.02	0.489
SNRNP35	0.0172	-0.0266	-1.02	1.00	-1.04	0.123
SNRNP40	0.0182	-0.0081	-1.01	1.02	-1.03	0.657
SNRNP70	0.0274	0.0160	1.01	1.05	-1.03	0.559
SNRPA	0.0197	0.0464	1.03	1.06	1.01	0.019
SNRPA1	0.0273	-0.0144	-1.01	1.03	-1.05	0.598
SNRPB	0.0292	0.0257	1.02	1.06	-1.02	0.381
SNRPB2	0.0163	-0.0004	-1.00	1.02	-1.02	0.979
SNRPC	0.0120	0.0102	1.01	1.02	-1.01	0.397
SNRPD1	0.0164	0.0103	1.01	1.03	-1.02	0.532
SNRPD2	0.0192	0.0180	1.01	1.04	-1.01	0.349
SNRPD3	0.0186	-0.0050	-1.00	1.02	-1.03	0.788
SNRPE	0.0196	0.0098	1.01	1.03	-1.02	0.616
SNRPF	0.0186	0.0012	1.00	1.03	-1.02	0.947
SNRPG	0.0226	-0.0277	-1.02	1.01	-1.05	0.221
SNTA1	0.0191	0.0449	1.03	1.06	1.01	0.0196
SNTB2	0.0206	-0.0107	-1.01	1.02	-1.04	0.603
SNUPN	0.0207	0.0075	1.01	1.03	-1.02	0.717
SNW1	0.0118	0.0060	1.00	1.02	-1.01	0.61
SNX1	0.0266	0.0117	1.01	1.05	-1.03	0.66
SNX10	0.0286	-0.0327	-1.02	1.02	-1.06	0.254
SNX11	0.0132	0.0194	1.01	1.03	-1.00	0.144
SNX13	0.0193	-0.0053	-1.00	1.02	-1.03	0.786
SNX17	0.0157	-0.0020	-1.00	1.02	-1.02	0.897
SNX19	0.0166	0.0091	1.01	1.03	-1.02	0.584
SNX2	0.0160	-0.0085	-1.01	1.02	-1.03	0.595
SNX24	0.0238	-0.0234	-1.02	1.02	-1.05	0.326
SNX27	0.0198	-0.0019	-1.00	1.03	-1.03	0.925
SNX29	0.0186	-0.0020	-1.00	1.02	-1.03	0.915
SNX3	0.0187	-0.0212	-1.01	1.01	-1.04	0.257
SNX4	0.0218	-0.0022	-1.00	1.03	-1.03	0.919
